"Minutes_Played","Goals","Total_Passes_Completed_Perc","Assists","Tackles_Interceptions","Clearances","Errors","Recoveries","Player_Positions","Age","Value_EUR","Wage_EUR","Height_cm","Nationality","Preferred_Foot","Release_Clause_EUR","Continent","Club_Ranking","League_Ranking","Contract_Years_Remained"
1256,0.21,75.4,0.14,3.93,0.57,0,6.57,4,21,4600000,23000,174,3,0,8700000,1,27,4,5
1081,0,76.1,0.33,3.5,0.67,0,8,3,18,9e+06,9000,181,3,1,19800000,1,379,5,2
1413,0.13,70.8,0.13,1.21,0.38,0,3.63,4,24,1.2e+07,46000,172,4,1,25200000,1,115,1,4
307,0,71,0,8.82,4.71,0,10,4,25,875000,3000,193,106,0,1600000,4,350,67,2
458,0,79.1,0,3.53,1.57,0,5.88,2,31,2200000,17000,182,57,1,4400000,4,475,5,2
458,0,79.1,0,3.53,1.57,0,5.88,2,21,2500000,2000,185,57,1,4900000,4,314,33,2
160,0,73.2,0,5,3.33,0,11.7,3,23,4800000,19000,189,32,1,9100000,4,49,4,1
808,0.11,65.3,0,2.11,0.44,0,5.11,4,31,4800000,35000,186,4,1,9100000,1,159,1,1
210,0,76.5,0,6.52,0,0.43,12.2,2,21,1200000,4000,185,3,1,2400000,1,596,4,1
184,0,72.3,0,4,0.5,0,7,3,23,3e+06,11000,173,32,1,6600000,4,2194,5,4
2311,0.04,89,0.08,3.42,2.76,0.08,9.3,2,22,44500000,77000,190,5,0,84600000,1,2247,3,3
1768,0,78.7,0,5.31,5.82,0,8.83,2,19,4200000,8000,190,16,1,10200000,1,152,4,3
1371,0.53,70.8,0.07,1.12,0.46,0,3.55,4,27,3e+07,61000,181,5,1,53300000,1,130,3,1
90,0,46.7,0,0,0,0,6,1,30,275000,4000,185,5,1,468000,1,79,3,2
1738,0.41,62.2,0.1,1.55,0.62,0,4.15,4,29,1.4e+07,34000,190,18,0,29400000,1,258,2,4
1181,0,81.1,0.08,4.43,3.59,0,10.1,2,22,1500000,8000,194,5,0,2900000,1,130,3,3
2395,0.04,79.4,0.11,4.89,1.58,0,8.87,2,24,6e+06,16000,186,3,1,13200000,1,86,5,1
1790,0.05,78,0.2,4.02,1.26,0.05,9.05,3,21,1400000,3000,181,5,0,2800000,1,259,3,1
3119,0.2,66.8,0.29,2.25,0.29,0,6.66,3,34,8e+06,25000,180,5,1,13600000,1,170,3,3
2215,0,75.4,0,4.15,3.94,0.04,9.07,2,20,2700000,8000,185,5,0,6300000,1,298,3,4
1496,0,91.4,0,4.22,5.24,0.06,10.1,2,25,2.8e+07,95000,187,11,1,53900000,1,5,1,1
209,0,88,0.87,2.17,1.3,0,8.26,3,23,16500000,28000,175,3,1,34700000,1,1359,5,3
156,0,83.3,0,0,0,0,4.12,4,21,3300000,23000,175,47,1,6900000,1,179,1,3
3322,0,78.2,0,0,0.03,0.08,4.63,1,34,4400000,32000,189,5,1,7500000,1,54,3,1
234,0.38,78.2,0,4.23,0.77,0,5.38,2,27,8e+06,32000,184,5,1,14200000,1,11,3,1
1347,0,73.8,0.07,3.07,1.07,0,4.6,2,23,2600000,5000,183,8,0,6000000,1,752,6,2
3150,0,62.2,0,0.03,0.03,0.06,4.31,1,27,23500000,32000,184,5,1,41700000,1,298,3,3
2726,0.07,80.2,0.1,2.41,2.51,0.03,8.02,2,31,12500000,66000,175,4,0,23800000,1,33,1,2
1740,0,84.1,0.16,4.35,0.73,0,10.9,2,20,5.7e+07,59000,183,59,0,105500000,3,1,4,4
1740,0,84.1,0.16,4.35,0.73,0,10.9,1,28,1600000,14000,185,19,1,3200000,1,243,18,1
1740,0,84.1,0.16,4.35,0.73,0,10.9,2,22,7e+05,2000,180,4,1,1400000,1,910,67,1
2129,0.17,77.8,0.04,3.38,1.56,0,9.54,3,25,725000,7000,189,5,1,1300000,1,298,3,3
2448,0.59,61.3,0.07,1.03,0.48,0,3.82,4,29,25500000,49000,181,30,1,48500000,4,1359,5,3
1304,0,71.7,0,0,0,0.14,4.21,1,27,2100000,10000,196,3,1,4400000,1,539,5,2
877,0,89.4,0.1,3.81,2.06,0.1,5.98,2,25,17500000,62000,187,21,0,33700000,4,12,5,3
877,0,89.4,0.1,3.81,2.06,0.1,5.98,3,18,3100000,12000,173,57,0,7700000,4,24,1,4
170,0,78.6,0,2.11,1.05,0,10,3,23,9e+06,35000,183,76,1,16000000,4,28,3,3
2721,0.03,88.2,0,3.38,3.61,0,9.4,2,23,14500000,37000,190,3,1,28600000,1,2285,5,4
2694,0.03,84.8,0,4.85,3.91,0.03,8.43,2,26,8500000,21000,182,52,1,17600000,4,86,5,2
370,0,54.8,0,3.17,0.24,0,4.88,4,24,1900000,11000,178,48,1,3900000,1,1639,5,3
2537,0.07,80.1,0.14,4.15,1.17,0,12.6,3,28,17500000,87000,184,3,1,33300000,1,695,1,2
1931,0.09,79.1,0.09,2.7,0.47,0,6.65,3,28,4200000,42000,178,52,0,7100000,4,64,3,1
1637,0.05,80.9,0,4.67,1.65,0,10.7,3,31,6e+06,20000,186,17,1,10200000,1,170,3,1
386,0.23,71.3,0.23,1.16,0.47,0,6.28,3,26,9e+06,56000,188,12,1,17800000,1,73,1,2
1214,0.15,78.5,0.15,3.26,0.44,0,4.96,3,19,1700000,12000,180,17,1,4200000,1,24,1,3
2105,0.17,85.1,0.04,3.29,4.36,0,10,2,27,18500000,34000,180,7,1,40200000,1,40,2,3
3329,0.05,63.2,0.05,5.51,2.32,0.05,10.9,2,29,3700000,24000,172,13,0,8100000,2,167,2,2
336,1.08,82.9,0,1.89,0,0,3.24,4,18,17500000,44000,178,7,1,46800000,1,6,2,1
117,0,89.3,0,3.85,0,0,10.8,3,25,4400000,20000,171,7,1,10000000,1,1220,2,2
1166,0,70.1,0,0.08,0,0.08,3.92,1,34,1300000,10000,187,7,1,2100000,1,180,67,2
1166,0,70.1,0,0.08,0,0.08,3.92,4,25,775000,500,177,82,0,1700000,2,855,67,0
